Report generated: 07/25/2014, 22:04

City,Users,Tweets
Fort Wayne, IN,101,20200
Tulsa, OK,101,20200
Milwaukee, WI,101,20200
El Paso, TX,101,20200
Laredo, TX,0,0
Fremont, CA,0,0
Gilbert, AZ,101,20200
Irving, TX,101,20200
Washington, DC,101,20200
Atlanta, GA,101,20200
Phoenix, AZ,101,20200
Norfolk, VA,101,20200
Boise, ID,0,0
Bakersfield, CA,101,20200
Reno, NV,101,20200
Houston, TX,101,20200
Chandler, AZ,101,20200
San Antonio, TX,101,20200
Henderson, NV,101,20200
Winston Salem, NC,0,0
Saint Louis, MO,101,20200
Chesapeake, VA,101,20200
Stockton, CA,101,20200
Corpus Christi, TX,101,20200
Boston, MA,101,20200
Garland, TX,101,20200
Anaheim, CA,101,20200
Pittsburgh, PA,101,20200
Fort Worth, TX,101,20200
Birmingham, AL,101,20200
Detroit, MI,101,20200
Colorado Springs, CO,101,20200
Seattle, WA,101,20200
San Bernardino, CA,101,20200
Virginia Beach, VA,101,20200
Honolulu, HI,101,20200
Santa Ana, CA,101,20200
Plano, TX,101,20200
Indianapolis, IN,101,20200
Sacramento, CA,101,20200
San Diego, CA,101,20200
Toledo, OH,101,20200
Dallas, TX,101,20200
Lincoln, NE,0,0
Long Beach, CA,101,20200
San Francisco, CA,101,20200
Saint Petersburg, FL,101,20200
Baton Rouge, LA,101,20200
Philadelphia, PA,101,20200
Riverside, CA,101,20200
Louisville, KY,101,20200
Portland, OR,101,20200
Buffalo, NY,101,20200
Arlington, TX,4,670
Cleveland, OH,101,20200
Charlotte, NC,15,2940
Glendale, AZ,101,20200
Tucson, AZ,101,20200
Raleigh, NC,101,20200
Madison, WI,0,0
Irvine, CA,101,20200
New York, NY,101,20200
Lubbock, TX,0,0
Saint Paul, MN,101,20200
Minneapolis, MN,101,20200
Tampa, FL,101,20200
Las Vegas, NV,3,470
Scottsdale, AZ,101,20200
Oakland, CA,101,20200
Anchorage, AK,0,0
Nashville, TN,101,20200
Chula Vista, CA,101,20200
New Orleans, LA,101,20200
Denver, CO,101,20200
Albuquerque, NM,101,20200
Aurora, CO,101,20200
Chicago, IL,101,20200
Mesa, AZ,101,20200
Jacksonville, FL,101,20200
North Las Vegas, NV,0,0
Hialeah, FL,101,20200
Greensboro, NC,101,20200
Orlando, FL,101,20200
Newark, NJ,26,5201
Jersey City, NJ,53,10601
Lexington, KY,71,14031
Miami, FL,10,1871
Cincinnati, OH,11,2142
Baltimore, MD,46,9062
Omaha, NE,62,12223
Wichita, KS,90,17893
Oklahoma City, OK,41,8184
Memphis, TN,30,5934
Kansas City, MO,32,6245
Los Angeles, CA,23,4485
Fresno, CA,31,6036
San Jose, CA,99,19737
Columbus, OH,20,3948
Durham, NC,101,20199
Austin, TX,5,849
**********
Totals,7944,1586921
**********
Min tweets: 20200, Max tweets: 20200
