STDZD_PROP_CITY,state,minlat,maxlat,minlon,maxlon
ANCHOR POINT,AK,59.699167,59.931,-151.864365,-151.581
ANCHORAGE,AK,61.040969,61.234443,-150.011947,-149.6861
ANIAK,AK,61.5774,61.5774,-156.9701,-156.9701
BIG LAKE,AK,61.5842,61.5842,-149.4401,-149.4401
CHUGIAK,AK,61.362301,61.460377,-149.536398,-149.169827
CLAM GULCH,AK,60.129365,60.290744,-151.538441,-151.335492
CLEAR,AK,64.558733,64.558733,-149.096187,-149.096187
COOPER LANDING,AK,60.480293,60.527827,-150.236334,-149.703466
DELTA JUNCTION,AK,64.030518,64.032235,-145.711133,-145.705905
DOUGLAS,AK,58.268735,58.283898,-134.412183,-134.381665
EAGLE RIVER,AK,61.21838,61.415455,-149.583862,-149.26004
EIELSON AFB,AK,64.682342,64.853284,-147.761418,-147.078985
FAIRBANKS,AK,64.311438,65.239749,-148.339691,-146.692852
FORT WAINWRIGHT,AK,64.824449,64.84323,-147.69368,-147.611383
GAKONA,AK,62.5617,62.5617,-143.4952,-143.4952
HOMER,AK,59.441965,59.803955,-151.707973,-151.085867
HOPE,AK,60.88134,60.921524,-149.631439,-149.424957
INDIAN,AK,60.984,60.9922,-149.5987,-149.5015
JBER,AK,61.231915,61.25296,-149.861023,-149.678994
JUNEAU,AK,58.227051,58.548624,-134.858734,-134.245471
KAKE,AK,57.0392,57.0392,-132.562,-132.562
KASILOF,AK,60.249757,60.450409,-151.381577,-151.191513
KENAI,AK,60.469868,60.883773,-151.380798,-150.803334
KETCHIKAN,AK,55.293755,55.506953,-131.835164,-131.475724
KODIAK,AK,57.691906,57.828827,-152.612106,-152.327817
MOOSE PASS,AK,60.378004,60.641403,-149.545303,-149.352599
NINILCHIK,AK,59.937231,60.12487,-151.737442,-151.488266
NORTH POLE,AK,64.624374,64.848518,-147.572576,-147.13179
PALMER,AK,61.43512,61.7764,-149.328186,-148.4801
PORT ALEXANDER,AK,56.245023,56.245023,-134.642239,-134.642239
SALCHA,AK,64.308029,64.617774,-147.121994,-146.653357
SELDOVIA,AK,59.7855,59.7855,-151.3078,-151.3078
SEWARD,AK,60.1045,60.432484,-149.441742,-149.341339
SITKA,AK,57.033887,57.119824,-135.400876,-135.254943
SOLDOTNA,AK,60.363784,60.5466,-151.213516,-150.630142
STERLING,AK,60.4813,60.560924,-150.938,-150.589996
SUTTON,AK,61.7047,61.811058,-149.006,-147.490051
TENAKEE SPRINGS,AK,58.1247,58.1247,-135.6492,-135.6492
VALDEZ,AK,61.1259,61.133328,-146.373437,-146.3507
WASILLA,AK,61.4001,61.6884,-150.0635,-149.234512
ABBEVILLE,AL,31.429125,31.770634,-85.348022,-85.088278
ADAMSVILLE,AL,33.536933,33.627859,-87.060524,-86.916992
ADDISON,AL,34.116719,34.298525,-87.252796,-87.102242
ADGER,AL,33.349777,33.537464,-87.332359,-87.079613
AKRON,AL,32.789243,32.918764,-87.815823,-87.654014
ALABASTER,AL,33.166046,33.271667,-86.861504,-86.726807
ALBERTA,AL,32.060776,32.249597,-87.44136,-87.271724
ALBERTVILLE,AL,34.202867,34.434064,-86.349101,-86.049866
ALEXANDER CITY,AL,32.726843,33.097589,-86.028696,-85.7702
ALEXANDRIA,AL,33.736086,33.800001,-85.958359,-85.846855
ALICEVILLE,AL,32.8762,33.216622,-88.339924,-88.039317
ALPINE,AL,33.231093,33.455545,-86.366077,-86.155502
ALTOONA,AL,33.945213,34.143487,-86.438321,-86.135353
ANDALUSIA,AL,31.076433,31.4366,-86.864465,-86.300217
ANDERSON,AL,34.882874,35.000511,-87.33081,-87.159643
ANNISTON,AL,33.593557,33.80022,-85.943382,-85.641544
ARAB,AL,34.22662,34.401311,-86.593911,-86.39289
ARDMORE,AL,34.931356,34.991975,-86.896347,-86.720528
ARITON,AL,31.521411,31.688517,-85.854795,-85.565282
ARLEY,AL,33.989811,34.17125,-87.264133,-87.107191
ARLINGTON,AL,32.045822,32.132487,-87.617651,-87.541658
ASHFORD,AL,31.096805,31.308434,-85.324094,-85.168198
ASHLAND,AL,33.10692,33.358366,-85.965007,-85.735925
ASHVILLE,AL,33.706518,33.903013,-86.367659,-86.058731
ATHENS,AL,34.686127,34.93535,-87.256035,-86.796196
ATMORE,AL,30.997782,31.339005,-87.673266,-87.323045
ATTALLA,AL,33.948806,34.221775,-86.241294,-85.887336
